Title,Author,My Rating,Average Rating,Number of Pages,Original Publication Year,Date Read,race,of-color,gender,non-male,sexuality,non-straight,international,disabled,overall rating
Man's Search for Meaning,Viktor E. Frankl,3,4.35,165,1946,2/14/20,white,0,male,0,straight,0,0,0,0
The Dutch House,Ann Patchett,4,4.1,337,2019,,white,0,female,1,straight,0,0,0,1
Searching for Sylvie Lee,Jean Kwok,5,3.66,336,2019,,asian,1,female,1,straight,0,0,0,2
Ani maamin: A song lost and found again,Elie Wiesel,5,4.2,104,1973,,white,0,male,0,straight,0,0,0,0
The Turn of the Screw,Henry James,3,3.42,121,1898,,white,0,male,0,asexual,1,0,0,1
Heart of Darkness,Joseph Conrad,3,3.44,188,1899,,white,0,male,0,straight,0,0,0,0
Things You Save in a Fire,Katherine Center,4,4.02,320,2019,,white,0,female,1,straight,0,0,0,1
Excellent Sheep: The Miseducation of the American Elite and the Way to a Meaningful Life,William Deresiewicz,5,3.89,245,2014,,white,0,male,0,straight,0,0,0,0
Girls Burn Brighter,Shobha   Rao,5,3.78,309,2018,,asian,1,female,1,queer,1,1,0,4
Civilization and Its Discontents,Sigmund Freud,5,3.78,127,1930,12/4/19,white,0,male,0,straight,0,0,0,0
The Flatshare,Beth O'Leary,5,4.08,328,2019,,white,0,female,1,straight,0,0,0,1
Normal People,Sally Rooney,3,3.85,273,2018,,white,0,female,1,straight,0,0,0,1
A Woman Is No Man,Etaf Rum,5,4.25,339,2019,,middle eastern,1,female,1,straight,0,1,0,3
The Female Persuasion,Meg Wolitzer,5,3.57,454,2018,,white,0,female,1,straight,0,0,0,1
The Water Dancer,Ta-Nehisi Coates,4,4.07,416,2019,11/22/19,black,1,male,0,straight,0,0,0,1
Wilder Girls,Rory Power,4,3.51,357,2019,,white,0,female,1,bisexual,1,0,0,2
Trust Exercise,Susan Choi,5,3.14,257,2019,,asian,1,female,1,straight,0,0,0,2
Tell Me Again How a Crush Should Feel,Sara Farizan,4,3.84,304,2014,8/20/19,middle eastern,1,female,1,queer,1,1,0,4
Song of Solomon,Toni Morrison,5,4.1,337,1977,,black,1,female,1,straight,0,0,0,2
Night Soil,Dale Peck,5,2.79,264,2018,11/2/19,white,0,male,0,queer,1,0,0,1
On Earth We're Briefly Gorgeous,Ocean Vuong,4,4.05,246,2019,,asian,1,male,0,queer,1,1,0,3
"My Sister, the Serial Killer",Oyinkan Braithwaite,3,3.72,226,2018,11/14/19,black,1,female,1,straight,0,1,0,3
Disappearing Earth,Julia  Phillips,3,3.87,312,2019,11/13/19,white,0,female,1,straight,0,0,0,1
The Communist Manifesto,Karl Marx,5,3.61,288,1848,,white,0,male,0,straight,0,0,0,0
Naked Economics: Undressing the Dismal Science,Charles Wheelan,4,4.01,400,2002,,white,0,male,0,straight,0,0,0,0
Eleanor Oliphant Is Completely Fine,Gail Honeyman,4,4.26,336,2017,,white,0,female,1,straight,0,0,0,1
An American Marriage,Tayari Jones,3,3.95,308,2018,10/24/19,black,1,female,1,straight,0,0,0,2
Circe,Madeline Miller,3,4.26,393,2018,,white,0,female,1,straight,0,0,0,1
Candide,Voltaire,5,3.77,129,1759,,white,0,male,0,straight,0,0,0,0
Meditations,Marcus Aurelius,4,4.22,303,,10/16/19,white,0,male,0,straight,0,0,0,0
The Incendiaries,R.O. Kwon,2,3.24,214,2018,,asian,1,female,1,bisexual,1,0,0,3
East of Eden,John Steinbeck,4,4.38,601,1952,,white,0,male,0,straight,0,0,0,0
To the Lighthouse,Virginia Woolf,5,3.78,209,1927,10/9/19,white,0,female,1,queer,1,0,1,3
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4,3.99,183,1968,,white,0,female,1,straight,0,0,0,1
Cat's Cradle,Kurt Vonnegut Jr.,3,4.16,206,1963,,white,0,male,0,straight,0,0,0,0
The Immortalists,Chloe Benjamin,3,3.71,346,2018,,white,0,female,1,straight,0,0,0,1
Black Enough: Stories of Being Young & Black in America,Ibi Zoboi,4,4.14,416,2019,,black,1,female,1,straight,0,1,0,3
A Separate Peace,John Knowles,4,3.59,208,1959,,white,0,male,0,gay,1,0,0,1
Apology,Plato,4,4.2,127,-399,,white,0,male,0,straight,0,0,0,0
The Field Guide to the North American Teenager,Ben Philippe,2,3.8,384,2019,,black,1,male,0,straight,0,0,0,1
If You Could Be Mine,Sara Farizan,3,3.71,256,2013,,middle eastern,1,female,1,queer,1,1,0,4
The Sense of an Ending,Julian Barnes,4,3.73,150,2011,,white,0,male,0,straight,0,0,1,1
"Red, White & Royal Blue",Casey McQuiston,4,4.22,421,2019,,white,0,non-binary,1,bisexual,1,0,0,2
"The Friend Zone (The Friend Zone, #1)",Abby Jimenez,3,3.88,372,2019,,latinx,1,female,1,straight,0,0,0,2
The Dreamers,Karen Thompson Walker,4,3.65,303,2019,,white,0,female,1,straight,0,0,0,1
The Great Alone,Kristin Hannah,5,4.35,435,2018,5/5/19,white,0,female,1,straight,0,0,0,1
The Great Believers,Rebecca Makkai,5,4.24,421,2018,8/8/19,white,0,female,1,straight,0,0,0,1
When Rap Spoke Straight to God,Erica Dawson,4,4.15,70,2018,8/5/19,black,1,female,1,straight,0,0,0,2
Love and Ruin,Paula McLain,3,3.86,389,2018,,white,0,female,1,straight,0,0,0,1
"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4,4.5,63,2017,8/2/19,black,1,female,1,straight,0,1,0,3
"The Archived (The Archived, #1)",Victoria Schwab,3,3.92,327,2013,,white,0,female,1,gay,1,0,0,2
The Hating Game,Sally  Thorne,4,4.09,387,2016,,white,0,female,1,straight,0,0,0,1
"You Think It, I'll Say It",Curtis Sittenfeld,3.5,3.68,226,2017,7/31/19,white,0,female,1,straight,0,0,0,1
"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,3,4.03,343,2018,,white,0,male,0,straight,0,0,0,0
The Paris Wife,Paula McLain,3,3.81,314,2011,7/15/19,white,0,female,1,straight,0,0,0,1
The Innocence Treatment,Ari B. Goelman,3,3.71,304,2017,7/1/19,white,0,male,0,straight,0,0,0,0
Fruit of the Drunken Tree,Ingrid Rojas Contreras,4,3.95,304,2018,6/30/19,latinx,1,female,1,queer,1,1,0,4
